title,pubDate,guid,link,description
UK sanctions 386 Russian MPs over Ukraine invasion,"Fri, 11 Mar 2022 19:31:33 GMT",https://www.bbc.co.uk/news/uk-politics-60708230,https://www.bbc.co.uk/news/uk-politics-60708230?at_medium=RSS&at_campaign=KARANGA,Politicians who voted to recognise two areas of Ukraine as independent have their UK assets frozen.
Covid infections rising again across UK - ONS,"Fri, 11 Mar 2022 19:11:35 GMT",https://www.bbc.co.uk/news/health-60709712,https://www.bbc.co.uk/news/health-60709712?at_medium=RSS&at_campaign=KARANGA,"A form of Omicron called BA.2 is now the most common variant in most of the UK, figures suggest."
"Under threat of Russian bombs, Lviv hides away its priceless heritage","Sat, 12 Mar 2022 00:25:31 GMT",https://www.bbc.co.uk/news/world-europe-60707531,https://www.bbc.co.uk/news/world-europe-60707531?at_medium=RSS&at_campaign=KARANGA,The picturesque western city of Lviv is racing to protect is cultural and religious artefacts.
War in Ukraine: How Russia is recruiting mercenaries,"Sat, 12 Mar 2022 00:32:16 GMT",https://www.bbc.co.uk/news/world-europe-60711211,https://www.bbc.co.uk/news/world-europe-60711211?at_medium=RSS&at_campaign=KARANGA,"Social media channels and private messaging groups are being used to recruit, the BBC has learned."
Ukraine war: Fact-checking Russia's biological weapons claims,"Fri, 11 Mar 2022 19:03:49 GMT",https://www.bbc.co.uk/news/60711705,https://www.bbc.co.uk/news/60711705?at_medium=RSS&at_campaign=KARANGA,The BBC finds no evidence for Russian claims that Ukraine is developing biological weapons with US support.
Ukraine: Spam website set up to reach millions of Russians,"Sat, 12 Mar 2022 00:35:07 GMT",https://www.bbc.co.uk/news/technology-60697261,https://www.bbc.co.uk/news/technology-60697261?at_medium=RSS&at_campaign=KARANGA,A Norwegian computer expert has made a system for volunteers to email millions of Russian people about the war
What sanctions are being imposed on Russia over Ukraine invasion?,"Fri, 11 Mar 2022 15:12:07 GMT",https://www.bbc.co.uk/news/world-europe-60125659,https://www.bbc.co.uk/news/world-europe-60125659?at_medium=RSS&at_campaign=KARANGA,Western nations have imposed severe sanctions on Russia over its invasion of Ukraine.
Mariupol hospital attack: Pregnant woman hurt in bombing gives birth,"Fri, 11 Mar 2022 22:16:48 GMT",https://www.bbc.co.uk/news/world-europe-60715492,https://www.bbc.co.uk/news/world-europe-60715492?at_medium=RSS&at_campaign=KARANGA,"Mariana Vishegirskaya, a beauty blogger, has reportedly given birth to a baby girl."
Ukraine: What happened on day 16 of Russia's invasion,"Fri, 11 Mar 2022 21:12:56 GMT",https://www.bbc.co.uk/news/world-europe-60712179,https://www.bbc.co.uk/news/world-europe-60712179?at_medium=RSS&at_campaign=KARANGA,"Vladimir Putin paves the way for foreign fighters to join the war, while Russia widens its attacks."
Ukraine: Thousands of vulnerable children unaccounted for,"Fri, 11 Mar 2022 16:37:24 GMT",https://www.bbc.co.uk/news/world-europe-60692442,https://www.bbc.co.uk/news/world-europe-60692442?at_medium=RSS&at_campaign=KARANGA,Extraction unit evacuating orphanages in the war zone say traffickers targeted children at the Ukraine border.
Will Nato get involved if dirty bombs are used in Ukraine? And other questions,"Fri, 11 Mar 2022 16:00:22 GMT",https://www.bbc.co.uk/news/world-60711951,https://www.bbc.co.uk/news/world-60711951?at_medium=RSS&at_campaign=KARANGA,BBC correspondents Lyse Doucet and Jenny Hill answer readers' questions on Ukraine
Watch: Our correspondent goes into no-man's land with the Ukrainian army,"Thu, 10 Mar 2022 22:47:46 GMT",https://www.bbc.co.uk/news/world-europe-60699588,https://www.bbc.co.uk/news/world-europe-60699588?at_medium=RSS&at_campaign=KARANGA,The BBC spent a week with Ukrainian forces in Kharkiv as they fight to stop a further Russian advance.
Which companies are pulling out of Russia?,"Fri, 11 Mar 2022 21:44:54 GMT",https://www.bbc.co.uk/news/business-60571133,https://www.bbc.co.uk/news/business-60571133?at_medium=RSS&at_campaign=KARANGA,Reputational risk and practical difficulties means the exodus of firms is growing but some remain.
Roman Abramovich: What do Russian owner's sanctions mean for Chelsea?,"Fri, 11 Mar 2022 06:47:16 GMT",https://www.bbc.co.uk/sport/football/60684038,https://www.bbc.co.uk/sport/football/60684038?at_medium=RSS&at_campaign=KARANGA,What do sanctions imposed on Roman Abramovich mean for Chelsea and the club's supporters? BBC Sport answers some of the key questions.
The Papers: Kyiv faces siege and UK under fire over refugees,"Sat, 12 Mar 2022 05:26:16 GMT",https://www.bbc.co.uk/news/blogs-the-papers-60716208,https://www.bbc.co.uk/news/blogs-the-papers-60716208?at_medium=RSS&at_campaign=KARANGA,The coming battle for Ukraine's capital and the ongoing fallout dominates the headlines.
Intimate image abuse: His confession protected him,"Sat, 12 Mar 2022 00:00:50 GMT",https://www.bbc.co.uk/news/uk-politics-60693849,https://www.bbc.co.uk/news/uk-politics-60693849?at_medium=RSS&at_campaign=KARANGA,Georgie received an anonymous tip-off on Facebook that intimate photos of her were being shared online.
Building a bigger home for the British Library collection,"Sat, 12 Mar 2022 00:07:59 GMT",https://www.bbc.co.uk/news/uk-england-leeds-60668721,https://www.bbc.co.uk/news/uk-england-leeds-60668721?at_medium=RSS&at_campaign=KARANGA,What do you do when your collection of millions of books keeps growing but your bookshelves don't?
The friends who explore abandoned buildings,"Fri, 11 Mar 2022 23:02:24 GMT",https://www.bbc.co.uk/news/uk-scotland-60700824,https://www.bbc.co.uk/news/uk-scotland-60700824?at_medium=RSS&at_campaign=KARANGA,"Alex, Alistair and Theo are among a community of ""urban explorers"" who document the history of decaying structures."
Week in pictures: 5-11 March 2022,"Sat, 12 Mar 2022 00:10:45 GMT",https://www.bbc.co.uk/news/in-pictures-60699864,https://www.bbc.co.uk/news/in-pictures-60699864?at_medium=RSS&at_campaign=KARANGA,"A selection of powerful images from all over the globe, taken in the past seven days."
'Young people may have 10-plus careers in their lifetime',"Fri, 11 Mar 2022 22:30:50 GMT",https://www.bbc.co.uk/news/business-60710925,https://www.bbc.co.uk/news/business-60710925?at_medium=RSS&at_campaign=KARANGA,A charity competition is encouraging school kids to get entrepreneurial and make their own products.
British Pie Awards: Gluten-free pie crowned winner,"Fri, 11 Mar 2022 21:23:05 GMT",https://www.bbc.co.uk/news/uk-england-leicestershire-60715831,https://www.bbc.co.uk/news/uk-england-leicestershire-60715831?at_medium=RSS&at_campaign=KARANGA,This is the first time the free-from category produced an overall winning pie.
Mystery drone from Ukraine war crashes in Croatia,"Fri, 11 Mar 2022 14:22:00 GMT",https://www.bbc.co.uk/news/world-europe-60709952,https://www.bbc.co.uk/news/world-europe-60709952?at_medium=RSS&at_campaign=KARANGA,Experts believe a drone that crashed in Zagreb was a Soviet-era type used by the Ukrainian military.
Mark Kermode and Simon Mayo are ending their 5 Live film show,"Fri, 11 Mar 2022 16:01:03 GMT",https://www.bbc.co.uk/news/entertainment-arts-60705765,https://www.bbc.co.uk/news/entertainment-arts-60705765?at_medium=RSS&at_campaign=KARANGA,The movie review show presented by critic Mark Kermode and presenter Simon Mayo will end in April.
Jussie Smollett: A complete timeline from actor's 2019 arrest to jail time,"Fri, 11 Mar 2022 09:11:53 GMT",https://www.bbc.co.uk/news/newsbeat-47317701,https://www.bbc.co.uk/news/newsbeat-47317701?at_medium=RSS&at_campaign=KARANGA,"A jury has sentenced the US actor for lying about being the victim of a racist, homophobic attack."
Honduran authorities burn eight tonnes of cocaine,"Fri, 11 Mar 2022 19:53:32 GMT",https://www.bbc.co.uk/news/world-60715574,https://www.bbc.co.uk/news/world-60715574?at_medium=RSS&at_campaign=KARANGA,Authorities in Honduras destroy cocaine seized in various operations in the country since 2020.
UK visas for Ukrainian refugees: 'We don't deserve such an attitude',"Fri, 11 Mar 2022 12:39:04 GMT",https://www.bbc.co.uk/news/world-europe-60707758,https://www.bbc.co.uk/news/world-europe-60707758?at_medium=RSS&at_campaign=KARANGA,"Lena Kamolikova came from London to collect her Ukrainian mother Raisa, but they face a lengthy process to apply for a UK visa."
Pregnancy loss: 'I just don't think we're being listened to',"Fri, 11 Mar 2022 04:26:46 GMT",https://www.bbc.co.uk/news/world-us-canada-60698394,https://www.bbc.co.uk/news/world-us-canada-60698394?at_medium=RSS&at_campaign=KARANGA,Four black women explain their devastating experiences with pregnancy loss in US healthcare system.
Martin Compston: From a school corridor to stardom,"Fri, 11 Mar 2022 22:55:36 GMT",https://www.bbc.co.uk/news/uk-scotland-60707536,https://www.bbc.co.uk/news/uk-scotland-60707536?at_medium=RSS&at_campaign=KARANGA,"The Scot made his acting debut in Ken Loach's gritty drama Sweet Sixteen, released 20 years ago."
'Reselling PlayStations keeps a roof over my head',"Sat, 12 Mar 2022 00:13:50 GMT",https://www.bbc.co.uk/news/technology-60709207,https://www.bbc.co.uk/news/technology-60709207?at_medium=RSS&at_campaign=KARANGA,How so-called scalpers use online bots to snap up consoles and resell them for profit.
